mmu00480	100043497,100504710,103140,110175,110208,14380,14381,14598,14629,14630,14775,14776,14778,14780,14782,14854,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,15926,16790,18263,20133,20135,20603,207182,20810,211666,23887,269951,332942,382985,54486,56615,625249,66073,66116,66447,66988,67305,68044,68214,68312,68396,69065,69590,71522,75475,75512,75886,76263,
mmu00500	100043684,100043686,100043688,103988,109959,110078,110095,11722,14377,14378,14387,14751,14936,15275,15277,18605,19309,209558,212032,216019,216558,232493,232714,27357,58866,66681,68401,69983,70974,72157,74185,76051,77559,
mmu00510	102580,103534,103963,107895,13135,13200,13478,13480,13481,140481,14376,14595,16430,17155,17156,17158,17308,17309,20014,20440,207958,208211,208624,217664,223774,227619,227697,230815,240119,268510,269181,320302,320438,380959,381903,53418,53618,56737,57170,57370,57377,66248,66789,67555,67569,67574,68292,68563,80286,
mmu00511	110173,11593,12091,14466,15211,15212,17159,17160,18010,217364,230101,238023,23956,241159,50877,66848,71665,73744,
mmu00512	108148,108150,108760,14423,14425,14426,14537,171212,20442,20444,20445,207839,212996,218476,230145,231050,233733,241391,270049,271786,272411,56336,59048,67909,71685,72077,78754,94192,
mmu00514	101351,108155,140484,14595,16848,17305,19719,20440,20441,217734,223827,224143,232313,234407,240119,26433,269132,381694,53418,57370,80294,99011,
mmu00515	108902,14345,14348,14595,16795,20441,215494,216395,217734,228366,243853,246179,268510,280645,53418,57370,68273,74653,75847,76898,97884,98388,99011,
mmu00520	103988,107652,109754,109785,110119,12763,12764,14430,14583,14584,14635,14751,15211,15212,15275,15277,19703,212032,216019,216558,218138,22122,22235,227620,230582,234730,245847,26384,266690,29858,320635,331026,50798,54128,54342,56174,66681,67311,67883,67980,69080,71884,72017,72157,74091,74246,75540,81600,94181,
mmu00524	103988,15275,15277,212032,216019,
mmu00531	109685,110006,11881,12091,15211,15212,15442,15586,15587,15931,15932,20690,27029,27419,50917,52120,545291,74409,74468,75612,77042,
mmu00532	100910,117592,212898,217119,218271,233781,234356,269941,338362,53374,58250,59031,60322,71797,72136,72727,74241,77590,78752,78923,
mmu00533	14595,20441,20442,20444,227327,26887,53418,53618,53625,54371,56375,56773,57370,76969,
mmu00534	117592,14042,14043,15476,15478,15531,17423,195646,217119,218271,233781,23908,319415,50785,50786,50787,54616,54710,56219,58193,64580,72727,83398,93683,
mmu00561	102247,104418,110197,110524,110695,11605,11669,11671,11677,116939,11997,12613,13139,13350,14187,14245,14626,14732,14933,15450,16891,16956,18946,18947,19012,215456,217480,218121,225010,225913,227333,231510,233549,235582,23945,28169,320127,331374,380921,381925,50784,52123,55979,56077,56752,58810,64898,64899,66853,67216,67512,67717,67800,67861,67916,68262,68393,69060,69923,71910,72535,
mmu00562	101490,104015,104776,107650,108083,114663,114875,117150,16329,16330,16331,16332,170749,170835,17330,17772,18704,18705,18706,18707,18711,18717,18718,18719,18720,18795,18796,18797,18798,18799,18802,18803,19062,19211,20975,212111,217837,219135,21991,224020,225326,227733,228550,233011,234515,234779,240752,242291,269180,269437,269615,30955,320404,320634,52858,53332,54384,55980,56727,64436,67073,69718,71780,72469,74055,74302,74769,75678,77116,83493,84095,97287,
mmu00563	110417,13481,14731,14755,14756,18700,18701,228812,230801,239827,241062,27392,276846,327942,329777,433931,55981,56176,56703,66268,67292,67556,70325,72084,78928,
mmu00564	102247,104418,104759,110197,110524,110911,11423,12647,12651,12660,13026,13139,14245,14555,14571,14712,14732,14792,16816,18618,18777,18778,18780,18781,18782,18783,18784,18805,18806,18807,19012,19210,192654,210992,211429,212862,214253,215456,217480,218121,225010,225845,226856,227333,231510,232889,236899,237625,237928,241274,26394,26565,26970,26971,270084,271844,27388,28042,28169,320127,320951,329502,331374,333433,380921,381925,50767,50784,52123,52858,53357,55979,56077,64898,64899,66350,66358,665270,66586,66826,67216,67512,67916,68262,68671,69836,70902,71760,71910,74182,74451,74596,75320,77582,78390,99010,99712,
mmu00565	100163,104759,18472,18475,18476,18606,18778,18780,18781,18782,18783,18784,18805,18806,18807,19012,210992,211429,212862,22239,225845,228061,232889,237625,26565,26970,26971,270084,271844,27226,28042,320981,329502,50784,53357,53897,66350,665270,66569,67916,68255,68616,69836,70902,78390,99010,99712,
mmu00590	100040843,100066,107141,109857,11684,11685,11686,11687,11688,11689,12408,12409,13088,13089,13090,13094,13095,13096,13097,13098,13099,13106,13109,13110,13117,13118,13119,13850,14598,14775,14776,14778,14780,16993,17001,170716,18778,18780,18781,18782,18783,18784,19215,19223,19224,19225,211429,21391,225845,226105,226143,230459,230639,232889,237625,23887,242546,243881,26565,26970,26971,271844,277753,329502,404195,433247,435802,53357,54486,56351,64292,64385,66350,66469,665095,665270,666168,67305,69590,69836,69888,71519,72054,72082,72303,74519,75512,78390,96979,
mmu00591	100041375,100066,107141,11687,13077,13095,13096,13097,13098,13099,13106,13109,13110,13112,13113,13114,18778,18780,18781,18782,18783,18784,211429,225845,226105,226143,230459,232889,237625,242546,26565,26970,26971,271844,329502,337924,404195,433247,53357,53973,56388,66350,665095,665270,69836,69888,72082,72303,74519,78390,
mmu00592	113868,11430,18778,18780,18781,18782,18783,18784,211429,225845,232889,235674,237625,26565,26970,26971,271844,329502,53357,56473,66350,665270,69836,78390,80911,
mmu00600	11605,11883,11886,12091,13244,14420,14466,171168,18010,19012,20397,20597,20598,20698,20773,208449,22234,22239,223753,228677,230101,230379,238011,23956,241159,241447,268656,433323,50784,50877,53897,54447,545975,56386,56632,58994,619326,66190,67260,67916,70059,70750,71949,74442,76893,77626,81535,93898,
mmu00601	102637973,108105,14343,14344,14345,14347,14348,14538,14594,14595,20441,20443,20449,231727,239559,26877,26878,26879,53418,53625,54613,56375,56546,57370,72297,80908,93961,
mmu00603	11605,14343,14344,14348,15211,15212,17939,20442,20444,20449,215493,227671,239559,26879,56546,93961,
mmu00604	11416,12091,14421,15211,15212,20442,20444,20447,20448,20449,20454,225742,26938,50935,54218,
mmu00620	100705,106557,107029,107476,109264,109801,110446,110460,110695,11669,11671,13382,14194,14651,16828,16832,16833,17436,17448,17449,18534,18563,18597,18598,18746,18770,235339,52815,56752,60525,66204,68263,68738,72535,74156,74551,75572,76238,
mmu00630	104174,108037,110446,110460,110821,11428,11429,11611,12359,12974,13382,14645,15112,17448,17449,17850,20425,235582,434437,56185,66904,67078,67432,68133,68180,71562,71832,73724,76238,
